Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
403.gcc-16B_4T,nopref,0,0,0,0,0
403.gcc-16B_4T,spp,0,0,0,0,0
403.gcc-16B_4T,bingo,0,0,0,0,0
403.gcc-16B_4T,mlop,0,0,0,0,0
403.gcc-16B_4T,pythia,0,0,0,0,0
410.bwaves-1963B_4T,nopref,0,0,0,0,0
410.bwaves-1963B_4T,spp,0,0,0,0,0
410.bwaves-1963B_4T,bingo,0,0,0,0,0
410.bwaves-1963B_4T,mlop,0,0,0,0,0
410.bwaves-1963B_4T,pythia,0,0,0,0,0
429.mcf-184B_4T,nopref,0,0,0,0,0
429.mcf-184B_4T,spp,0,0,0,0,0
429.mcf-184B_4T,bingo,0,0,0,0,0
429.mcf-184B_4T,mlop,0,0,0,0,0
429.mcf-184B_4T,pythia,0,0,0,0,0
429.mcf-192B_4T,nopref,0,0,0,0,0
429.mcf-192B_4T,spp,0,0,0,0,0
429.mcf-192B_4T,bingo,0,0,0,0,0
429.mcf-192B_4T,mlop,0,0,0,0,0
429.mcf-192B_4T,pythia,0,0,0,0,0
429.mcf-51B_4T,nopref,0,0,0,0,0
429.mcf-51B_4T,spp,0,0,0,0,0
429.mcf-51B_4T,bingo,0,0,0,0,0
429.mcf-51B_4T,mlop,0,0,0,0,0
429.mcf-51B_4T,pythia,0,0,0,0,0
433.milc-127B_4T,nopref,0,0,0,0,0
433.milc-127B_4T,spp,0,0,0,0,0
433.milc-127B_4T,bingo,0,0,0,0,0
433.milc-127B_4T,mlop,0,0,0,0,0
433.milc-127B_4T,pythia,0,0,0,0,0
436.cactusADM-1804B_4T,nopref,0,0,0,0,0
436.cactusADM-1804B_4T,spp,0,0,0,0,0
436.cactusADM-1804B_4T,bingo,0,0,0,0,0
436.cactusADM-1804B_4T,mlop,0,0,0,0,0
436.cactusADM-1804B_4T,pythia,0,0,0,0,0
437.leslie3d-149B_4T,nopref,0,0,0,0,0
437.leslie3d-149B_4T,spp,0,0,0,0,0
437.leslie3d-149B_4T,bingo,0,0,0,0,0
437.leslie3d-149B_4T,mlop,0,0,0,0,0
437.leslie3d-149B_4T,pythia,0,0,0,0,0
437.leslie3d-232B_4T,nopref,0,0,0,0,0
437.leslie3d-232B_4T,spp,0,0,0,0,0
437.leslie3d-232B_4T,bingo,0,0,0,0,0
437.leslie3d-232B_4T,mlop,0,0,0,0,0
437.leslie3d-232B_4T,pythia,0,0,0,0,0
437.leslie3d-265B_4T,nopref,0,0,0,0,0
437.leslie3d-265B_4T,spp,0,0,0,0,0
437.leslie3d-265B_4T,bingo,0,0,0,0,0
437.leslie3d-265B_4T,mlop,0,0,0,0,0
437.leslie3d-265B_4T,pythia,0,0,0,0,0
437.leslie3d-271B_4T,nopref,0,0,0,0,0
437.leslie3d-271B_4T,spp,0,0,0,0,0
437.leslie3d-271B_4T,bingo,0,0,0,0,0
437.leslie3d-271B_4T,mlop,0,0,0,0,0
437.leslie3d-271B_4T,pythia,0,0,0,0,0
445.gobmk-30B_4T,nopref,0,0,0,0,0
445.gobmk-30B_4T,spp,0,0,0,0,0
445.gobmk-30B_4T,bingo,0,0,0,0,0
445.gobmk-30B_4T,mlop,0,0,0,0,0
445.gobmk-30B_4T,pythia,0,0,0,0,0
445.gobmk-36B_4T,nopref,0,0,0,0,0
445.gobmk-36B_4T,spp,0,0,0,0,0
445.gobmk-36B_4T,bingo,0,0,0,0,0
445.gobmk-36B_4T,mlop,0,0,0,0,0
445.gobmk-36B_4T,pythia,0,0,0,0,0
450.soplex-247B_4T,nopref,0,0,0,0,0
450.soplex-247B_4T,spp,0,0,0,0,0
450.soplex-247B_4T,bingo,0,0,0,0,0
450.soplex-247B_4T,mlop,0,0,0,0,0
450.soplex-247B_4T,pythia,0,0,0,0,0
459.GemsFDTD-1211B_4T,nopref,0,0,0,0,0
459.GemsFDTD-1211B_4T,spp,0,0,0,0,0
459.GemsFDTD-1211B_4T,bingo,0,0,0,0,0
459.GemsFDTD-1211B_4T,mlop,0,0,0,0,0
459.GemsFDTD-1211B_4T,pythia,0,0,0,0,0
459.GemsFDTD-1418B_4T,nopref,0,0,0,0,0
459.GemsFDTD-1418B_4T,spp,0,0,0,0,0
459.GemsFDTD-1418B_4T,bingo,0,0,0,0,0
459.GemsFDTD-1418B_4T,mlop,0,0,0,0,0
459.GemsFDTD-1418B_4T,pythia,0,0,0,0,0
459.GemsFDTD-765B_4T,nopref,0,0,0,0,0
459.GemsFDTD-765B_4T,spp,0,0,0,0,0
459.GemsFDTD-765B_4T,bingo,0,0,0,0,0
459.GemsFDTD-765B_4T,mlop,0,0,0,0,0
459.GemsFDTD-765B_4T,pythia,0,0,0,0,0
462.libquantum-1343B_4T,nopref,0,0,0,0,0
462.libquantum-1343B_4T,spp,0,0,0,0,0
462.libquantum-1343B_4T,bingo,0,0,0,0,0
462.libquantum-1343B_4T,mlop,0,0,0,0,0
462.libquantum-1343B_4T,pythia,0,0,0,0,0
462.libquantum-714B_4T,nopref,0,0,0,0,0
462.libquantum-714B_4T,spp,0,0,0,0,0
462.libquantum-714B_4T,bingo,0,0,0,0,0
462.libquantum-714B_4T,mlop,0,0,0,0,0
462.libquantum-714B_4T,pythia,0,0,0,0,0
470.lbm-1274B_4T,nopref,0,0,0,0,0
470.lbm-1274B_4T,spp,0,0,0,0,0
470.lbm-1274B_4T,bingo,0,0,0,0,0
470.lbm-1274B_4T,mlop,0,0,0,0,0
470.lbm-1274B_4T,pythia,0,0,0,0,0
471.omnetpp-188B_4T,nopref,0,0,0,0,0
471.omnetpp-188B_4T,spp,0,0,0,0,0
471.omnetpp-188B_4T,bingo,0,0,0,0,0
471.omnetpp-188B_4T,mlop,0,0,0,0,0
471.omnetpp-188B_4T,pythia,0,0,0,0,0
473.astar-359B_4T,nopref,0,0,0,0,0
473.astar-359B_4T,spp,0,0,0,0,0
473.astar-359B_4T,bingo,0,0,0,0,0
473.astar-359B_4T,mlop,0,0,0,0,0
473.astar-359B_4T,pythia,0,0,0,0,0
481.wrf-1254B_4T,nopref,0,0,0,0,0
481.wrf-1254B_4T,spp,0,0,0,0,0
481.wrf-1254B_4T,bingo,0,0,0,0,0
481.wrf-1254B_4T,mlop,0,0,0,0,0
481.wrf-1254B_4T,pythia,0,0,0,0,0
481.wrf-196B_4T,nopref,0,0,0,0,0
481.wrf-196B_4T,spp,0,0,0,0,0
481.wrf-196B_4T,bingo,0,0,0,0,0
481.wrf-196B_4T,mlop,0,0,0,0,0
481.wrf-196B_4T,pythia,0,0,0,0,0
481.wrf-816B_4T,nopref,0,0,0,0,0
481.wrf-816B_4T,spp,0,0,0,0,0
481.wrf-816B_4T,bingo,0,0,0,0,0
481.wrf-816B_4T,mlop,0,0,0,0,0
481.wrf-816B_4T,pythia,0,0,0,0,0
482.sphinx3-1297B_4T,nopref,0,0,0,0,0
482.sphinx3-1297B_4T,spp,0,0,0,0,0
482.sphinx3-1297B_4T,bingo,0,0,0,0,0
482.sphinx3-1297B_4T,mlop,0,0,0,0,0
482.sphinx3-1297B_4T,pythia,0,0,0,0,0
482.sphinx3-1395B_4T,nopref,0,0,0,0,0
482.sphinx3-1395B_4T,spp,0,0,0,0,0
482.sphinx3-1395B_4T,bingo,0,0,0,0,0
482.sphinx3-1395B_4T,mlop,0,0,0,0,0
482.sphinx3-1395B_4T,pythia,0,0,0,0,0
483.xalancbmk-127B_4T,nopref,0,0,0,0,0
483.xalancbmk-127B_4T,spp,0,0,0,0,0
483.xalancbmk-127B_4T,bingo,0,0,0,0,0
483.xalancbmk-127B_4T,mlop,0,0,0,0,0
483.xalancbmk-127B_4T,pythia,0,0,0,0,0
602.gcc_s-1850B_4T,nopref,0,0,0,0,0
602.gcc_s-1850B_4T,spp,0,0,0,0,0
602.gcc_s-1850B_4T,bingo,0,0,0,0,0
602.gcc_s-1850B_4T,mlop,0,0,0,0,0
602.gcc_s-1850B_4T,pythia,0,0,0,0,0
602.gcc_s-734B_4T,nopref,0,0,0,0,0
602.gcc_s-734B_4T,spp,0,0,0,0,0
602.gcc_s-734B_4T,bingo,0,0,0,0,0
602.gcc_s-734B_4T,mlop,0,0,0,0,0
602.gcc_s-734B_4T,pythia,0,0,0,0,0
603.bwaves_s-2931B_4T,nopref,0,0,0,0,0
603.bwaves_s-2931B_4T,spp,0,0,0,0,0
603.bwaves_s-2931B_4T,bingo,0,0,0,0,0
603.bwaves_s-2931B_4T,mlop,0,0,0,0,0
603.bwaves_s-2931B_4T,pythia,0,0,0,0,0
605.mcf_s-994B_4T,nopref,0,0,0,0,0
605.mcf_s-994B_4T,spp,0,0,0,0,0
605.mcf_s-994B_4T,bingo,0,0,0,0,0
605.mcf_s-994B_4T,mlop,0,0,0,0,0
605.mcf_s-994B_4T,pythia,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,nopref,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,spp,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,bingo,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,mlop,0,0,0,0,0
607.cactuBSSN_s-2421B_4T,pythia,0,0,0,0,0
619.lbm_s-2677B_4T,nopref,0,0,0,0,0
619.lbm_s-2677B_4T,spp,0,0,0,0,0
619.lbm_s-2677B_4T,bingo,0,0,0,0,0
619.lbm_s-2677B_4T,mlop,0,0,0,0,0
619.lbm_s-2677B_4T,pythia,0,0,0,0,0
619.lbm_s-3766B_4T,nopref,0,0,0,0,0
619.lbm_s-3766B_4T,spp,0,0,0,0,0
619.lbm_s-3766B_4T,bingo,0,0,0,0,0
619.lbm_s-3766B_4T,mlop,0,0,0,0,0
619.lbm_s-3766B_4T,pythia,0,0,0,0,0
619.lbm_s-4268B_4T,nopref,0,0,0,0,0
619.lbm_s-4268B_4T,spp,0,0,0,0,0
619.lbm_s-4268B_4T,bingo,0,0,0,0,0
619.lbm_s-4268B_4T,mlop,0,0,0,0,0
619.lbm_s-4268B_4T,pythia,0,0,0,0,0
620.omnetpp_s-141B_4T,nopref,0,0,0,0,0
620.omnetpp_s-141B_4T,spp,0,0,0,0,0
620.omnetpp_s-141B_4T,bingo,0,0,0,0,0
620.omnetpp_s-141B_4T,mlop,0,0,0,0,0
620.omnetpp_s-141B_4T,pythia,0,0,0,0,0
620.omnetpp_s-874B_4T,nopref,0,0,0,0,0
620.omnetpp_s-874B_4T,spp,0,0,0,0,0
620.omnetpp_s-874B_4T,bingo,0,0,0,0,0
620.omnetpp_s-874B_4T,mlop,0,0,0,0,0
620.omnetpp_s-874B_4T,pythia,0,0,0,0,0
621.wrf_s-6673B_4T,nopref,0,0,0,0,0
621.wrf_s-6673B_4T,spp,0,0,0,0,0
621.wrf_s-6673B_4T,bingo,0,0,0,0,0
621.wrf_s-6673B_4T,mlop,0,0,0,0,0
621.wrf_s-6673B_4T,pythia,0,0,0,0,0
621.wrf_s-8065B_4T,nopref,0,0,0,0,0
621.wrf_s-8065B_4T,spp,0,0,0,0,0
621.wrf_s-8065B_4T,bingo,0,0,0,0,0
621.wrf_s-8065B_4T,mlop,0,0,0,0,0
621.wrf_s-8065B_4T,pythia,0,0,0,0,0
623.xalancbmk_s-10B_4T,nopref,0,0,0,0,0
623.xalancbmk_s-10B_4T,spp,0,0,0,0,0
623.xalancbmk_s-10B_4T,bingo,0,0,0,0,0
623.xalancbmk_s-10B_4T,mlop,0,0,0,0,0
623.xalancbmk_s-10B_4T,pythia,0,0,0,0,0
623.xalancbmk_s-592B_4T,nopref,0,0,0,0,0
623.xalancbmk_s-592B_4T,spp,0,0,0,0,0
623.xalancbmk_s-592B_4T,bingo,0,0,0,0,0
623.xalancbmk_s-592B_4T,mlop,0,0,0,0,0
623.xalancbmk_s-592B_4T,pythia,0,0,0,0,0
627.cam4_s-573B_4T,nopref,0,0,0,0,0
627.cam4_s-573B_4T,spp,0,0,0,0,0
627.cam4_s-573B_4T,bingo,0,0,0,0,0
627.cam4_s-573B_4T,mlop,0,0,0,0,0
627.cam4_s-573B_4T,pythia,0,0,0,0,0
628.pop2_s-17B_4T,nopref,0,0,0,0,0
628.pop2_s-17B_4T,spp,0,0,0,0,0
628.pop2_s-17B_4T,bingo,0,0,0,0,0
628.pop2_s-17B_4T,mlop,0,0,0,0,0
628.pop2_s-17B_4T,pythia,0,0,0,0,0
649.fotonik3d_s-10881B_4T,nopref,0,0,0,0,0
649.fotonik3d_s-10881B_4T,spp,0,0,0,0,0
649.fotonik3d_s-10881B_4T,bingo,0,0,0,0,0
649.fotonik3d_s-10881B_4T,mlop,0,0,0,0,0
649.fotonik3d_s-10881B_4T,pythia,0,0,0,0,0
654.roms_s-1007B_4T,nopref,0,0,0,0,0
654.roms_s-1007B_4T,spp,0,0,0,0,0
654.roms_s-1007B_4T,bingo,0,0,0,0,0
654.roms_s-1007B_4T,mlop,0,0,0,0,0
654.roms_s-1007B_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,nopref,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,spp,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,bingo,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,spp,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_4T,spp,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_7500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_23000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS-Bitvector.com-lj.ungraph.gcc_6.3.0_O3.drop_2500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,spp,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,spp,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,spp,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFSCC.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_5000M.length_250M_4T,pythia,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,spp,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,pythia,0,0,0,0,0
ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M_4T,nopref,0,0,0,0,0
